sample_id,gsm,donor,fraction,disease,tissue,path
GSM4041150_healthy1_cd45+,GSM4041150,healthy1,cd45+,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041150_healthy1_cd45+
GSM4041151_healthy1_cd45-A,GSM4041151,healthy1,cd45-A,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041151_healthy1_cd45-A
GSM4041152_healthy1_cd45-B,GSM4041152,healthy1,cd45-B,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041152_healthy1_cd45-B
GSM4041153_healthy2_cd45+,GSM4041153,healthy2,cd45+,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041153_healthy2_cd45+
GSM4041154_healthy2_cd45-,GSM4041154,healthy2,cd45-,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041154_healthy2_cd45-
GSM4041155_healthy3_cd45+,GSM4041155,healthy3,cd45+,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041155_healthy3_cd45+
GSM4041156_healthy3_cd45-A,GSM4041156,healthy3,cd45-A,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041156_healthy3_cd45-A
GSM4041157_healthy3_cd45-B,GSM4041157,healthy3,cd45-B,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041157_healthy3_cd45-B
GSM4041158_healthy4_cd45+,GSM4041158,healthy4,cd45+,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041158_healthy4_cd45+
GSM4041159_healthy4_cd45-,GSM4041159,healthy4,cd45-,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041159_healthy4_cd45-
GSM4041160_healthy5_cd45+,GSM4041160,healthy5,cd45+,healthy,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041160_healthy5_cd45+
GSM4041161_cirrhotic1_cd45+,GSM4041161,cirrhotic1,cd45+,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041161_cirrhotic1_cd45+
GSM4041162_cirrhotic1_cd45-A,GSM4041162,cirrhotic1,cd45-A,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041162_cirrhotic1_cd45-A
GSM4041163_cirrhotic1_cd45-B,GSM4041163,cirrhotic1,cd45-B,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041163_cirrhotic1_cd45-B
GSM4041164_cirrhotic2_cd45+,GSM4041164,cirrhotic2,cd45+,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041164_cirrhotic2_cd45+
GSM4041165_cirrhotic2_cd45-,GSM4041165,cirrhotic2,cd45-,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041165_cirrhotic2_cd45-
GSM4041166_cirrhotic3_cd45+,GSM4041166,cirrhotic3,cd45+,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041166_cirrhotic3_cd45+
GSM4041167_cirrhotic3_cd45-,GSM4041167,cirrhotic3,cd45-,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041167_cirrhotic3_cd45-
GSM4041168_cirrhotic4_cd45+,GSM4041168,cirrhotic4,cd45+,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041168_cirrhotic4_cd45+
GSM4041169_cirrhotic5_cd45+,GSM4041169,cirrhotic5,cd45+,cirrhotic,liver,C:\Users\penta\Downloads\Karyon_review\data_raw\extracted\per_sample\GSM4041169_cirrhotic5_cd45+
